,RU,EN
73,Каждый из нас выпил сто граммов водки.,Each of us drank 100 grams of vodka.
74,Вес золотой медали Олимпийских игр — пятьсот шестьдесят два грамма. ,The Olympic gold medal weighs 562 grams.
75,Мы остановимся в гостинице на площади Восстания.,We are staying in the hotel on Vosstaniya Square.
76,Наша гостиница была ужасна.,Our hotel was terrible.
77,Мы выезжаем из гостиницы в восемь утра.,We're leaving the hotel at 8 in the morning.
78,Он всегда ходит с ножом.,He always carries a knife.
79,Я не могу найти нож.,I can't find a knife.
80,Мы купили новые ножи на кухню.,We bought new kitchen knives.
81,Мой старший брат – мастер спорта по боксу.,My big brother is a master of sports in boxing.
82,Заниматься спортом полезно для здоровья.,Playing sports is good for one's health.
83,Я ничего не понимаю в спорте.,I don't understand anything about sports.
84,Какая у тебя красивая рубашка!,What a lovely shirt you have!
85,"Было жарко, и я снял рубашку.","It was hot, so I took off my shirt."
86,Машенька положила конфету в карман рубашки.,Mashenka put a candy in her shirt pocket.
87,Эту технологию используют в медицине.,This technology is used in medicine.
88,Медицина в России — бесплатная.,Medical care in Russia is free of charge.
89,Развитие медицины — важная задача.,The development of medicine is an important task.
90,Следующая остановка — «площадь Восстания».,"The next stop is ""Vosstaniya square""."
91,Приходи! Я жду тебя на остановке.,Come! I’m waiting for you at the bus stop.
92,Через пять остановок я вышел из автобуса.,I got off the bus after 5 stops.
93,В Москве много немецких туристов.,There are a lot of German tourists in Moscow.
94,Маша — преподаватель немецкого языка.,Masha is a German teacher.
95,"Я учил немецкий в школе, но уже ничего не помню.",I learned German at school but now I don’t remember anything.
96,Мне нравится зелёный чай с мятой.,I like green tea with mint.
97,У Оли зелёные глаза и чёрные волосы.,Olya has green eyes and black hair.
98,Купи зелёной краски! Мы красим стены в доме.,Buy some green paint! We’re painting the walls in our house.
99,День рождения нашей учительницы — в апреле.,Our teacher’s birthday is in April.
100,"Наша учительница строгая, но справедливая.",Our teacher is strict but fair.
101,"Вчера я позвонил учительнице, потому что не пришёл на урок.",I called my teacher yesterday because I didn’t go to class.
102,Какой у вас родной язык?,What is your mother tongue?
103,Мне всегда уютно в моём родном городе.,I always feel comfortable in my hometown.
104,Ты как с родным отцом разговариваешь?,Is that any way to speak to your own father?
105,Каким видом транспорта вы пользуетесь?,Which means of transport do you use?
106,Я не пользуюсь общественным транспортом — у меня своя машина.,I don’t use public transport — I have my own car.
107,Важно развивать общественный транспорт.,It’s important to develop public transport.
108,Какой красивый браслет! Можно посмотреть?,What a beautiful bracelet! Can I take a look?
109,"Ты посмотрел, как пройти в центр города?",Did you check how to get to the city center?
110,Она странно посмотрела на меня.,She gave me a strange look.
111,Жди меня у входа в магазин!,Wait for me at the entrance to the store!
112,На входе в аэропорт теперь стоит охрана.,There is now security at the entrance to the airport.
113,Я не вижу вход в этот магазин.,I can’t see the entrance to this shop.
114,Французский президент вчера прибыл в Москву.,The French president arrived in Moscow yesterday.
115,Вчера закончился фестиваль французской культуры.,The festival of French culture ended yesterday.
116,"Во французском языке есть артикли: le, la, les.","There are articles in French: le, la, les."
117,Мы поедем в центр на автобусе. Трамваи туда не ходят.,We’ll take the bus to the city center. No trams go there.
118,Я знаю маршрут этого автобуса.,I don't know the route of this bus.
119,В московских автобусах есть бесплатный интернет.,There is free internet in Moscow buses.
120,Почему об этом не пишут в учебниках по истории?,Why they don’t write about that in history textbooks?
121,Наши учебники по математике очень сложные.,Our math books are very difficult.
122,Мне нужен этот учебник.,I need this textbook.
123,Сколько иностранных языков вы знаете?,How many foreign languages do you know?
124,Он пошёл в библиотеку иностранной литературы.,He went to the foreign literature library.
125,Иностранным гражданам в этом музее скидка.,There is a discount for foreign citizens in this museum.
126,"Как здорово, что ты приехал!",It's so great that you came!
127,Ты очень устал. Тебе нужен здоровый сон.,You’re so tired. You need some good sleep.
128,"Петя болел на прошлой неделе, но сейчас абсолютно здоров.",Petya was sick last week but now he is absolutely fine.
129,Любовь делает меня счастливым.,Love makes me happy.
130,Меня взяли на работу! Какой счастливый день сегодня!,I got a job! What a happy day!
131,Ты счастлив с ней?,Are you happy with her?
132,Мой папа — инженер.,My father is an engineer.
133,На нашем заводе свободна должность главного инженера.,At our factory the position of chief engineer is available.
134,В нашу компанию нужны инженеры.,We need engineers in our company.
135,Мужской туалет находится справа от кассы.,The men’s bathroom is to the right of the cash register.
136,По-русски «дом» — существительное мужского рода.,In Russian «house» is a masculine noun.
137,В этом магазине нет мужских духов. ,There's no men's perfume in this shop.
138,Я не могу найти свои очки.,I can't find my glasses.
139,Я всегда смотрю телевизор в очках.,I always wear glasses when I watch TV.
140,Я не могу читать без очков.,I can't read without glasses.
141,Как называется приложение с картой метро?,What is the name of the app with a map of the metro?
142,Он узнал об этом из приложения к журналу.,He learned about it from the insert in the magazine.
143,Результаты анализов смотрите в приложении.,See the results of analyses in the attachment.
144,Привет из северной столицы России — Санкт-Петербурга!,Greetings from the Northern capital of Russia — Saint Petersburg!
145,Жители северных стран пьют много кофе.,People living in the Northern countries drink a lot of coffee.
146,Северная Корея — очень закрытая страна.,North Korea is a very closed country.
147,Ты сегодня такой весёлый. У тебя какой-то праздник?,You’re so happy today. Is there a special occasion?
148,Мне здесь совсем не весело. Пойдём домой!,It's no fun here at all. Let’s go home!
149,Моя собака всегда весёлая и энергичная.,My dog is always happy and energetic.
150,Жёлтые листья падают с деревьев.,Yellow leaves are falling from the trees.
151,Мне нравится твой жёлтый свитер.,I like your yellow sweater.
152,Я ищу юбку с жёлтыми полосками.,I am looking for a skirt with yellow stripes.
153,Не забудь сумку! Там наши паспорта.,Don’t forget the bag! Our passports are there.
154,Я не выхожу из дома без сумки.,I don't leave the house without my purse.
155,Я не могу найти ключи в сумке.,I can’t find the keys in the bag.
156,"В этом салате мало соли, нужно добавить.","There's not enough salt in this salad, we need to add more."
157,"Передай мне, пожалуйста, соль.","Pass me the salt, please."
158,В этой воде много солей магния.,This water contains a lot of magnesium salts.
159,С какого вокзала ты уезжаешь?,Which train station do you depart from?
160,Я провёл ночь на вокзале — ждал поезд в Мурманск.,I spent the night at the train station — I was waiting for the train to Murmansk.
161,Вася поехал на вокзал встречать своих друзей.,Vasya has gone to the train station to pick up his friends.
162,Откуда у Пети деньги? Он же бедный студент.,Where does Petya get money from? He’s a poor student.
163,Бедная девочка! Выздоравливай скорее!,Poor girl! Get well soon!
164,Дети из бедных семей получат бесплатные обеды в школе.,Children from poor families will get free lunches at school.
165,Кто ты по специальности?,What’s your profession?
166,"Моя специальность — переводчик, но я работаю фотографом.","I’m an interpreter by profession, but I work as a photographer."
167,В этом университете учат двадцати специальностям.,They teach 20 specializations in this university.
168,Мне не нравятся эти серые тучи на небе.,I don't like those grey clouds in the sky.
169,Серый волк — герой многих русских сказок.,The grey wolf is a character in many Russian fairy-tales.
170,Видите мужчину в серых штанах? Это мой дядя.,Do you see that man in grey pants? That’s my uncle.
171,Куда поступают твои одноклассники?,What universities are your classmates are applying to?
172,Мой брат хочет поступать в МГУ.,My brother wants to apply to Moscow State University.
173,"В этом году он не поступает в университет, а идёт работать.","He’s not applying to the university this year, he’s going to work."
174,На каком факультете ты учишься?,Which faculty/department of the university do you study at?
175,Это профессор с моего факультета.,This is a professor from my faculty/department.
176,Я поступила на факультет лингвистики.,I got accepted into the linguistics department.
177,Моя внучка любит танцевать.,My granddaughter likes to dance.
178,Как зовут вашу внучку?,What's your granddaughter’s name?
179,У моей внучки много талантов.,My granddaughter has many talents.
180,Каждый месяц он посылает деньги своей семье.,He sends money to his family every month.
181,Я люблю посылать друзьям открытки из путешествий.,I like to send my friends postcards from my travels.
182,Сергея всегда посылают на встречи с клиентами.,They always send Sergey to meet with clients.
183,Я только что вернулась из бассейна.,I just came back from the swimming pool.
184,Я не люблю плавать в бассейне. Там слишком грязно.,I don't like to swim in the swimming pool. It’s too dirty there.
185,Рядом с нашим домом открылся новый бассейн.,A new swimming pool has opened next door to us.
186,Генеральный менеджер сейчас в отпуске. Что ему передать?,The general manager is now on vacation. Should I take a message?
187,Менеджеры нашей компании собрались на встречу.,The managers of our company gathered for the meeting.
188,Дайте мне номер менеджера! Я хочу с ним поговорить. ,Give me your manager's number! I want to talk to him.
189,Англичане пьют чай с молоком.,The English drink tea with milk.
190,"Наш сосед — англичанин. Он родился в Лондоне, но вырос в Москве.",Our neighbor is an Englishman. He was born in London but grew up in Moscow.
191,Ваня похож на англичанина.,Vanya looks like an Englishman.
192,Мне пора идти. До свидания!,It’s time for me to go. Goodbye!
193,Я вчера опоздала на свидание.,I was late for my appointment yesterday.
194,,
195,Море сегодня спокойное.,The sea is calm today.
196,Спокойной ночи! Сладких снов!,Goodnight! Sweet dreams!
197,"День был ветреный и дождливый, а ночь — спокойная и тихая.",The day was windy and rainy but the night was calm and quiet.
198,Где нам сегодня поужинать? Я хочу пиццу.,Where should we have dinner tonight? I want pizza.
199,Вчера мы поужинали в итальянском ресторане.,We had dinner at an Italian restaurant yesterday.
200,Давай поужинаем сегодня вместе?,Shall we have dinner together tonight?
201,У Марии Петровны пять внуков.,Mariya Petrovna has 5 grandchildren.
202,Мои внуки часто приезжают ко мне в гости.,My grandchildren visit me often.
203,Бабушка приготовила внуку котлеты с картошкой.,Grandmother made meatballs with potatoes for her grandson.
204,Вы живёте в квартире или в общежитии?,Do you live in an apartment or in a student dormitory?
205,Наше общежитие очень старое.,Our dormitory is very old.
206,В общежитиях нельзя пить и курить.,It's prohibited to drink alcohol and smoke in the dormitories.
207,Иностранцы обычно приезжают в Москву или в Санкт-Петербург.,Foreigners usually come to Moscow or Saint Petersburg.
208,На чемпионат мира по футболу в Россию приехало много иностранцев.,Many foreigners came to Russia for the World Cup.
209,Директор нашей компании — иностранец. Он приехал из Франции.,The director of our company is a foreigner. He came from France.
210,Вам нравится жить в России?,Do you like living in Russia?
211,Он приехал в Россию на неделю и остался навсегда.,He came to Russia for a week and stayed there forever.
212,В Берлине начались переговоры между Россией и ЕС.,Negotiations between Russia and the EU began in Berlin.
213,Что у вас есть из горячих блюд?,Which of the main courses do you have?
214,Она только что вышла из горячей сауны.,She just came out of the hot sauna.
215,Осторожно! Вода в кружке очень горячая!,Be careful! The water in the cup is very hot!
216,Я люблю яблочный сок.,I like apple juice.
217,Он пьёт водку с соком.,He drinks vodka with juice.
218,"Дай мне стакан сока, пожалуйста!","Give me a glass of juice, please!"
219,К этому костюму тебе нужна другая обувь.,You need different shoes for this suit.
220,У меня нет хорошей зимней обуви.,I don't have good winter shoes.
221,В углу стоял ящик со старой обувью.,There was a box with old shoes in the corner.
222,Я не люблю суп без мяса.,I don't like soup without meat.
223,Я не ем супы летом.,I don't eat soups in the summer.
224,В этом супе есть картошка?,Are there potatoes in this soup?
225,Когда ты прилетаешь? Я встречу тебя в аэропорту.,When are you arriving? I’ll pick you up at the airport.
226,Позвони мне из аэропорта!,Call me from the airport!
227,"Мне пора ехать в аэропорт, а я не могу найти свой паспорт.","It's time for me to go to the airport, but I can’t find my passport."
228,Катя не ест сыр с плесенью.,Katya doesn't eat blue cheese.
229,Ты будешь бутерброд с сыром и ветчиной?,Would you like to eat a sandwich with cheese and ham?
230,Она жить не может без сыра!,She can’t live without cheese!
231,В России сейчас много юристов и экономистов.,There are a lot of lawyers and economists in Russia now.
232,Сколько зарабатывают юристы в Москве?,How much do lawyers in Moscow earn?
233,Мне нужна помощь юриста.,I need help from a lawyer.
234,Мой сын такой умный!,My son is so smart!
235,Дельфины — умные животные.,Dolphins are very clever animals.
236,Я ещё не встречал таких умных студентов.,I have never met such smart students.
237,Иди есть завтрак!,Come and eat breakfast!
238,Мы с самого утра без завтрака. Так есть хочется!,We haven’t eaten anything since this morning. We’re so hungry now!
239,За завтраком он читает новости.,He reads the news during breakfast.
240,У моей бабушки в деревне живут куры. ,My grandma has hens in the village.
241,Я не ем курицу.,I don't eat chicken.
242,Эта курица несвежая.,This chicken isn’t fresh.
243,Мой младший брат любит мультики.,My little brother likes cartoons.
244,У Коли нет младших братьев или сестёр.,Kolya doesn’t have any younger brothers or sisters.
245,У моего младшего брата большая коллекция автомобилей.,My younger brother has a big collection of cars.
246,"Передайте этот конверт директору, пожалуйста!","Give this envelope to the director, please!"
247,Он достал письмо из конверта и начал читать.,He took the letter out of the envelope and started to read it.
248,У вас есть большие конверты?,Do you have large envelopes?
249,Вот ваша сдача — двадцать три копейки.,Here is your change — 23 kopecks.
250,Хлеб стоит сорок два рубля шестьдесят копеек.,Bread costs 42 roubles and 60 kopecks.
251,Он даже копейку не отдаст на благотворительность.,He won’t give even a kopeck to charity.
252,Мы вчера были на шоколадной фабрике.,Yesterday we visited the chocolate factory.
253,Эти конфеты — из фабрики рядом с нашим домом.,These candies are from the factory next to our house.
254,В нашем городе открылась фабрика игрушек.,A toy factory opened in our city.
255,Спички вы можете купить на кассе.,You can by matches at the cash register.
256,"Старший кассир, подойдите на кассу.","Senior cashier, please come to the cash register."
257,Грабители забрали из кассы все деньги.,The thieves took all the money from the cash register.
258,Запишите тему урока в тетрадь.,Write down the topic of the lesson in your notebook.
259,На экзамене нельзя пользоваться учебниками и тетрадями.,You are not allowed to use textbooks or notebooks during the exam.
260,Гриша заплакал и вырвал листок из тетради.,Grisha started crying and tore out a page from his notebook.
261,Раньше к нам каждые выходные приезжали гости.,We used to have guests at our house every weekend.
262,По выходным к нам приезжают дети и внуки.,On weekends our children and grandchildren come to visit us.
263,Завтра к нам приезжает дядя из Саратова.,Tomorrow our uncle from Saratov is coming to visit us.
264,"У меня правый глаз голубой, а левый — зелёный.",My right eye is light blue and my left one is green.
265,Он купил новую голубую рубашку.,He bought new light blue shirt.
266,Мои комментарии к работе отмечены голубым цветом.,My comments to the paper are marked in light blue.
267,Мы с друзьями любим петь под гитару.,My friends and I like to sing while playing the guitar.
268,Он вышел на сцену с гитарой и начал играть.,He came on stage with a guitar and started playing.
269,Где твоя гитара? Ты хотел спеть нам песню.,Where’s your guitar? You wanted to sing a song for us.
270,Мама налила молока в чашку.,Mother poured milk into the cup.
271,Дети вчера разбили две чашки.,The children broke 2 cups yesterday.
272,Она пришла на кухню с пустой чашкой.,She came into the kitchen with an empty cup.
273,Маша вернулась из Южной Кореи.,Masha came back from South Korea.
274,Сенатор поехал разговаривать с жителями южных штатов.,The senator went to talk with citizens of the southern states.
275,Южные районы Москвы мне не нравятся.,I don't like the southern districts of Moscow.
276,Я не люблю фисташковое мороженое.,I don't like pistachio ice-cream.
277,Петя пошёл в магазин за мороженым.,Petya went to the store to buy ice-cream.
278,Какой сорт мороженого ты любишь?,What kind of ice-cream do you like?
279,Синий автобус подъехал к остановке.,A blue bus came to the bus stop.
280,Мне нужны синие туфли и зелёная шляпа.,I need blue shoes and a green hat.
281,"Синим карандашом Маша нарисовала облака, а жёлтым — солнце.",Masha drew clouds with blue pencil and the sun with a yellow one.
282,Мы ждём тебя в столовой. Приходи есть!,We’re waiting for you in the cafeteria. Come eat!
283,После уроков мы идём есть в столовую.,After classes we go to the cafeteria.
284,В нашем университете открылась новая столовая.,A new cafeteria opened at our university.
285,Я не кладу сахар в кофе.,I don’t put sugar in my coffee.
286,,
287,Я не пью чай без сахара.,I don't drink tea without sugar.
288,Дай мне красный карандаш.,Give me a red pencil.
289,"Почему она пишет карандашом, а не ручкой?","Why is she writing with a pencil, and not with a pen?"
290,Я потеряла три карандаша.,I lost 3 pencils.
291,"Как я рад, что вы пришли!",I’m so glad that you came!
292,Мы всегда рады вас видеть.,We're always happy to see you.
293,"Я так рада, что сегодня выходной!",I'm so happy that today is a day off.
294,Это магазин с разумными ценами.,This is a shop with reasonable prices.
295,"Я думаю, что это разумная тактика. Так мы точно выиграем.",I think it’s a reasonable tactic. We’ll definitely win that way.
296,Разумных причин для такого решения не было.,There weren’t solid reasons for such a decision.
297,Средства массовых коммуникаций очень важны в современном мире.,Mass media is very important in the modern world.
298,Личное общение — мой любимый способ коммуникации.,Personal interaction is my favorite means of communication.
299,Фильм снят на деньги агентства по печати и массовым коммуникациям.,The movie was filmed with the help of money from the press and mass media agency.
300,Курс рубля продолжает падать.,The exchange rate of the rouble keeps falling.
301,"Все ушли, но он продолжал петь.",Everybody already left but he kept singing.
302,Я не хочу продолжать здесь работать.,I don't want to continue working here.
303,Я люблю картошку со сметаной.,I like potatoes with sour cream.
304,У нас нет картошки. Надо купить!,We don’t have any potatoes We need to buy some!
305,Наташа пошла на рынок за картошкой.,Natasha went to the market to buy potatoes.
306,В Большой театр приехали звёзды мирового балета.,The stars of the ballet world came to the Bolshoi theatre.
307,Мы сегодня идём на балет в Мариинский театр.,We’re going to the Mariinsky theatre to watch a ballet tonight.
308,За год я посмотрел больше десяти балетов.,I have seen more than 10 ballets this year.
309,Тадж-Махал — шедевр архитектуры.,The Taj Mahal is an architectural masterpiece.
310,Мне очень нравится современная архитектура.,I really like modern architecture.
311,"Он относится к архитектуре, как к искусству.",He treats architecture as art.
312,Этот художник очень талантливый.,This artist is very talented.
313,У меня очень талантливые внуки.,My grandchildren are very talented.
314,В чём секрет талантливого художника?,What is the secret to a talented artist?
315,Что у нас сегодня на ужин?,What are we having for dinner today?
316,Мы не успели на поезд и остались без ужина.,We were late for the train so we didn’t get dinner.
317,Папа будет дома к ужину.,Dad will be at home for dinner.
318,Какой национальности твои родители?,What is your parents’ nationality?
319,"Нам неважно, какая у вас национальность.",It doesn’t matter for us what your nationality is.
320,На ужин собрались представители шести национальностей.,People of 6 nationalities gathered for the dinner.
321,Свет от лампы был очень ярким. ,The light from the lamp was very bright.
322,Я хочу купить новую настольную лампу. ,I want to buy a new desk lamp.
323,Лампа у меня на столе не работает.,The lamp on my desk doesn’t work.
324,Я не пришёл на прошлый урок биологии. ,I didn’t come to the last biology class.
325,Моим любимым уроком в школе была биология. ,Biology was my favorite subject at school.
326,Мой брат изучает биологию в университете. ,My brother studies biology at the university.
327,Налей мне воды из чайника. ,Pour me some water from the teapot.
328,"Включи чайник, пожалуйста!","Turn on the tea kettle, please!"
329,У моей бабушки дома коллекция чайников.,My grandmother has a collection of teapots at home.
330,В нашем городе построили завод переработки бытовых отходов.,A waste recycling plant was built in our city.
331,Перед выходом из дома отключайте от электричества все бытовые приборы!,Turn off all the household appliances before leaving home!
332,В соседнем доме произошёл взрыв бытового газа.,There was a gas explosion in the house next door.
333,Какие у тебя планы на эту пятницу?,What are your plans for this Friday?
334,Пятница — мой любимый день.,Friday is my favorite day.
335,Я должна купить новое платье до пятницы.,I have to buy a new dress by Friday.
336,Моя новая квартира дешевле старой.,My new apartment is cheaper than the old one.
337,Это самый дешёвый супермаркет в городе.,This is the cheapest supermarket in the city.
338,Эта сумка красивая и дешёвая. Беру!,This bag is beautiful and cheap. I’ll take it!
339,Какие фрукты растут у вас в саду?,What fruits grow in your garden?
340,Купи домой немного фруктов.,Buy some fruit to take home.
341,Это вино хорошо подходит к фруктам и сырам.,This wine goes well with fruit and cheese.
342,Что вы делаете в этот четверг?,What are you doing this Thursday?
343,По четвергам я хожу в бассейн.,I go to the swimming pool on Thursdays.
344,Меня не будет в городе до четверга.,I won’t be in the city until Thursday.
345,Мама попросила меня нарезать колбасы.,Mom asked me to cut up the sausage.
346,Настя забыла купить колбасу.,Nastya forgot to buy sausage.
347,Колбаса — вредный продукт.,Sausage is a product that is bad for your health.
348,Возьми мои часы с книжной полки.,Get my watch from off the bookshelf.
349,У правой стены стоял большой книжный шкаф.,A big bookcase stood next to the wall on the right.
350,Иван стал директором книжного издательства.,Ivan became the manager of a book publishing house.
351,Турнир по большому теннису прошёл на прошлой неделе в Москве.,The tennis tournament was held in Moscow last week.
352,Мама купила Паше новую форму для тенниса.,Mother bought Pasha a new tennis outfit.
353,Большой теннис — мой любимый вид спорта.,Tennis is my favorite sport.
354,Я потерял свой паспорт в отпуске.,I lost my passport when I was on vacation.
355,"По паспорту ему сорок один год, но все говорят, что больше.","According to his passport he’s 41, but everybody says he's older."
356,Подойдите с паспортом в двадцать второй кабинет.,Go to room 22 with your passport.
357,Студенческий обед в столовой стоит сто двадцать рублей.,A student lunch at the cafeteria costs 120 roubles.
358,Они подошли к главному входу студенческого общежития.,They came to the main entrance of the student dormitory.
359,Он написал статью для сборника студенческих работ.,He wrote an article for an anthology of student works.
360,Какие овощи любят ваши дети?,What vegetables do your children like?
361,Мой муж умеет готовить только салат из овощей и яичницу.,The only things my husband knows how to make are vegetable salad and scrambled eggs.
362,,
363,"Прошу вас, помогите мне!",I’m begging you to help me!
364,Олег просит совета у Кати.,Oleg asks for Katya’s advice.
365,Мой сын три дня просил у меня эту игрушку.,My son was asking me for that toy for 3 days.
366,Визы каких стран есть у тебя в паспорте?,Which countries do you have visas for in your passport?
367,В какие страны российские граждане могут въезжать без виз?,Which countries can Russians enter without a visa?
368,Ты уже подал документы на визу?,Have you already applied for the visa?
369,Мы поедем в театр на троллейбусе.,We'll go to the theatre by trolleybus.
370,По этой улице троллейбусы не ездят.,Trolleybuses don’t go down this street.
371,Пятого июля не будет движения троллейбусов по улице Ленина.,No trolleybuses will go along Lenin street on July 5th.
372,Я пошла в аптеку за парацетамолом.,I went to the pharmacy to buy paracetamol.
373,В этой аптеке нет моего лекарства.,They don’t have my medicine at this pharmacy.
374,Эта аптека сегодня не работает.,This pharmacy is closed today.
375,Я не люблю упражнения на грамматику.,I don't like grammar exercises.
376,Я забыла тетрадь с упражнениями дома. ,I forgot my exercise book at home.
377,Ответы к упражнениям находятся в конце учебника. ,The answers to the exercises are in the back of the book.
378,Его жена — домохозяйка.,His wife is a housewife.
379,Любимый сериал моей мамы — «Отчаянные домохозяйки».,My mom’s favorite TV series is «Desperate Housewives».
380,"Здесь так красиво! Жаль, что у меня нет с собой фотоаппарата.",It's so beautiful here! It’s such a pity I don’t have my camera.
